"","fips","name","votes","reporting","precincts","results.bidenj","results.sandersb","results.warrene","results.buttigiegp","results.bloombergm","results.klobuchara","results.bennetm","results.gabbardt","results.yanga","results.bookerc","results.steyert","results.castroj","results.williamsonm","results.patrickd","results.uncommitted"
"1","24001","Allegany",  3873, 23, 37,  2788,   350,    63,    58,    57,    54,    27,    23,    15,    13,     9,     6,     5,     1,   404
"2","24003","Anne Arundel", 50444,127,195, 41674,  3444,  1155,   568,   389,   428,   145,   330,   351,    95,    44,    33,    63,    19,  1706
"3","24005","Baltimore",107477,210,236, 89182,  6765,  2126,   890,  1254,   903,   352,   662,   743,   220,   136,    66,   141,    63,  3974
"4","24510","Baltimore City", 78846,145,296, 66205,  5184,  1960,   383,   689,   348,   255,   288,   492,   288,    46,    67,    81,    41,  2519
"5","24009","Calvert", 10151, 19, 23,  8528,   680,   188,    85,    80,    62,    19,    62,    66,    15,    11,    12,     7,     7,   329
"6","24011","Caroline",  1670,  4,  8,  1349,   109,    29,    17,    13,    12,     7,    14,    12,     2,     4,     1,     2,     1,    98
"7","24013","Carroll",  9991, 20, 36,  7532,   945,   265,   134,   102,    99,    31,   101,    67,    25,    22,    12,    12,     3,   641
"8","24015","Cecil",  5511, 19, 28,  4289,   478,    97,    62,    40,    37,    20,    39,    36,    14,     8,     4,     6,     8,   373
"9","24017","Charles", 15641, 23, 43, 14162,   591,   120,    47,    88,    49,    31,    56,    61,    22,     5,     8,    10,     6,   385
"10","24019","Dorchester",  2225, 23, 39,  1914,    96,    18,    13,    12,    13,     3,    13,     9,     6,     3,     1,     2,     0,   122
"11","24021","Frederick", 22916, 66, 79, 18343,  2336,   654,   276,   160,   205,    47,   112,   145,    52,    19,    12,    22,     3,   530
"12","24023","Garrett",  1322, 11, 19,   949,   101,    32,    21,    23,    28,     3,     9,    14,     1,     2,     1,     0,     0,   138
"13","24025","Harford", 20551, 57, 86, 16335,  1738,   391,   274,   189,   209,    55,   158,   173,    40,    30,    19,    36,     6,   898
"14","24027","Howard", 43276, 91,118, 35453,  3644,  1343,   434,   282,   430,    93,   248,   407,    98,    33,    27,    33,    15,   736
"15","24029","Kent",  2410,  6, 10,  2024,   124,    68,    25,    19,    12,     9,     3,     7,     6,     2,     2,     1,     1,   107
"16","24031","Montgomery", 52377,115,255, 44672,  3574,  1599,   399,   385,   374,    94,   224,   368,    90,    35,    44,    29,     9,   481
"17","24033","Prince George's",120661,183,274,112169,  4362,  1376,   235,   410,   192,   187,   159,   298,   214,    40,    78,    55,    30,   856
"18","24035","Queen Anne's",  2880,  5, 11,  2348,   194,    53,    33,    18,    29,     4,    17,    19,     6,     5,     1,     4,     1,   148
"19","24039","Somerset",  1815, 18, 23,  1583,    81,    19,    12,     8,     6,     5,     9,     6,     3,     0,     2,     3,     0,    78
"20","24037","St. Mary's",  8831, 26, 36,  7067,   698,   197,    97,    72,    99,    30,    66,    72,    17,     3,     8,    11,     5,   389
"21","24041","Talbot",  3688,  7, 12,  3225,   172,    54,    34,    23,    29,    12,     9,    16,     9,     6,     1,     3,     3,    92
"22","24043","Washington",  8975, 37, 53,  6839,   817,   201,   120,   141,    99,    27,    59,    71,    19,    18,     5,    14,     3,   542
"23","24045","Wicomico",  8225, 39, 54,  7035,   539,   115,    57,    31,    39,    18,    36,    37,    18,    11,     5,     8,     7,   269
"24","24047","Worcester",  3838, 11, 20,  3227,   216,    38,    32,    24,    35,    13,    34,    25,     5,     6,     2,     8,     1,   172
